User ID,Tasks,Task ID,Business Value,Urgency,Stakeholder Priority,Complexity,Effort Estimation,Rank,Priority Score
US01,Process the deletions from 12-19-2017.,US01T1,5,4,5,2,2,1,6.2
US01,Implement functionality to receive updates to FABS records.,US01T2,4,4,4,3,2,2,5.6
US01,"Map and display office names derived from office codes.	",US01T3,3,2,3,2,1,4,3.7
US01,Add functionality to access two additional fields from FPDS data,US01T4,4,3,4,3,2,3,5.2
US02,Redesign the Resources page to match the new Broker design styles.,US02T1,4,3,4,2,3,6,5.1
US02,Report to the Agencies about user testing contributions to UX.,US02T2,5,4,5,3,3,3,6.5
US02,Proceed to round 2 of DABS or FABS landing page edits.,US02T3,4,4,4,3,2,4,5.6
US02,Proceed to round 2 of Homepage edits.,US02T4,3,3,4,3,2,7,4.7
US02,Proceed to round 3 of Help page edits.,US02T5,3,2,3,3,2,8,4
US02,Schedule user testing to ensure tester buy-in.,US02T6,5,5,5,3,3,1,6.9
US02,Begin user testing to validate stakeholder UI improvement requests.,US02T7,5,5,5,3,3,2,6.9
US02,Track Tech Thursday issues for testing and fixes.,US02T8,4,4,4,3,2,5,5.6
US03,Logging improvements,US03T1,5,4,4,3,3,10,6.2
US03,Modify FABS submission (publishStatus),US03T2,5,5,5,3,4,2,7
US03,Update Broker validation rule table,US03T3,4,3,4,4,3,15,5.5
US03,Add GTAS window data to the database,US03T4,4,4,4,3,3,11,5.7
US03,Cache D Files generation requests,US03T5,4,4,4,3,3,12,5.7
US03,Prevent double publishing of FABS submissions,US03T6,5,5,5,3,3,4,6.9
US03,Ensure non-existent records dont create new published data,US03T7,5,4,5,3,3,8,6.5
US03,Clarify CFDA error code triggers,US03T8,4,3,4,2,2,16,5
US03,Index domain models,US03T9,5,4,4,4,3,9,6.4
US03,Load FREC derivations for USASpending.gov,US03T10,5,4,5,3,4,6,6.6
US03,D Files generation and validation process,US03T11,4,4,4,3,3,13,5.7
US03,Update FPDS loader to include historical data,US03T12,5,4,4,4,4,7,6.5
US03,Remove FundingAgencyCode from FABS sample file,US03T13,4,3,3,2,2,17,4.7
US03,Create FABS groups under FREC paradigm,US03T14,4,4,4,3,3,14,5.7
US03,Quick access to Broker data for troubleshooting,US03T15,5,5,5,3,3,5,6.9
US03,Load all historical FPDS data,US03T16,5,5,5,4,4,1,7.2
US03,Prevent duplicate transactions and address time gap,US03T17,5,5,5,3,4,3,7
US04,Upload and validate error message text,US04T1,5,4,5,3,3,3,6.5
US04,Sync D1 file generation with FPDS data load,US04T2,5,5,5,4,4,1,7.2
US04,Help create content mockups,US04T3,4,3,4,2,3,7,5.1
US04,Historical FABS loader to derive fields correctly,US04T4,5,4,5,3,3,4,6.5
US04,PPoPZIP+4 validation to match Legal Entity ZIP,US04T5,5,4,5,3,3,5,6.5
US04,Submit records for individual recipients without DUNS error,US04T6,5,5,5,4,4,2,7.2
US04,Updated error codes to reflect logic and provide actionable feedback,US04T7,5,4,5,3,3,6,6.5
US05,Access published FABS files,US05T1,5,5,5,4,3,2,7.1
US05,See updated financial assistance data daily,US05T2,5,5,5,4,4,1,7.2
US06,Filter grant records from USAspending,US06T1,5,5,5,4,4,1,7.2
US06,Create user testing summary from UI SME,US06T2,4,4,5,3,3,4,6
US06,Design a schedule with UI SME,US06T3,4,4,5,3,3,5,6
